SKU,Branch,Month,Price,Category,Units,Unit_Cost
Battery_01,Atlanta,Jan,138.18,Battery,32,101
Battery_01,Atlanta,Feb,145.47,Battery,33,101
Battery_01,Atlanta,Mar,142.13,Battery,31,101
Battery_01,Atlanta,Apr,151.43,Battery,33,101
Battery_01,Atlanta,May,143.76,Battery,31,101
Battery_01,Atlanta,Jun,140.97,Battery,28,101
Battery_01,Atlanta,Jul,150.03,Battery,28,101
Battery_01,Atlanta,Aug,153.11,Battery,31,101
Battery_01,Atlanta,Sep,142.64,Battery,34,101
Battery_01,Atlanta,Oct,147.52,Battery,31,101
Battery_01,Atlanta,Nov,137.22,Battery,33,101
Battery_01,Atlanta,Dec,141.65,Battery,32,101
Battery_01,Dallas,Jan,137.12,Battery,31,101
Battery_01,Dallas,Feb,152.42,Battery,27,101
Battery_01,Dallas,Mar,151.44,Battery,27,101
Battery_01,Dallas,Apr,148.42,Battery,29,101
Battery_01,Dallas,May,153.72,Battery,34,101
Battery_01,Dallas,Jun,140.53,Battery,36,101
Battery_01,Dallas,Jul,150.47,Battery,29,101
Battery_01,Dallas,Aug,143.49,Battery,29,101
Battery_01,Dallas,Sep,145.15,Battery,29,101
Battery_01,Dallas,Oct,147.25,Battery,29,101
Battery_01,Dallas,Nov,140.71,Battery,28,101
Battery_01,Dallas,Dec,144.62,Battery,30,101
Battery_01,Houston,Jan,145.66,Battery,27,101
Battery_01,Houston,Feb,137.58,Battery,28,101
Battery_01,Houston,Mar,136.14,Battery,29,101
Battery_01,Houston,Apr,148.68,Battery,30,101
Battery_01,Houston,May,150.28,Battery,27,101
Battery_01,Houston,Jun,143.21,Battery,36,101
Battery_01,Houston,Jul,141.93,Battery,32,101
Battery_01,Houston,Aug,138.53,Battery,32,101
Battery_01,Houston,Sep,136.2,Battery,32,101
Battery_01,Houston,Oct,151.94,Battery,31,101
Battery_01,Houston,Nov,137.69,Battery,28,101
Battery_01,Houston,Dec,138.17,Battery,30,101
Battery_01,Phoenix,Jan,137.68,Battery,29,101
Battery_01,Phoenix,Feb,145.68,Battery,30,101
Battery_01,Phoenix,Mar,153.0,Battery,25,101
Battery_01,Phoenix,Apr,141.18,Battery,30,101
Battery_01,Phoenix,May,139.89,Battery,33,101
Battery_01,Phoenix,Jun,152.65,Battery,28,101
Battery_01,Phoenix,Jul,141.79,Battery,33,101
Battery_01,Phoenix,Aug,137.89,Battery,29,101
Battery_01,Phoenix,Sep,139.5,Battery,31,101
Battery_01,Phoenix,Oct,147.87,Battery,29,101
Battery_01,Phoenix,Nov,148.94,Battery,22,101
Battery_01,Phoenix,Dec,141.87,Battery,28,101
Battery_02,Atlanta,Jan,159.74,Battery,24,118
Battery_02,Atlanta,Feb,179.69,Battery,23,118
Battery_02,Atlanta,Mar,168.05,Battery,25,118
Battery_02,Atlanta,Apr,173.88,Battery,26,118
Battery_02,Atlanta,May,161.18,Battery,28,118
Battery_02,Atlanta,Jun,160.72,Battery,29,118
Battery_02,Atlanta,Jul,157.1,Battery,34,118
Battery_02,Atlanta,Aug,157.79,Battery,26,118
Battery_02,Atlanta,Sep,174.48,Battery,28,118
Battery_02,Atlanta,Oct,166.61,Battery,21,118
Battery_02,Atlanta,Nov,165.67,Battery,23,118
Battery_02,Atlanta,Dec,160.52,Battery,26,118
Battery_02,Dallas,Jan,160.51,Battery,25,118
Battery_02,Dallas,Feb,165.67,Battery,26,118
Battery_02,Dallas,Mar,167.11,Battery,25,118
Battery_02,Dallas,Apr,170.62,Battery,30,118
Battery_02,Dallas,May,156.67,Battery,31,118
Battery_02,Dallas,Jun,177.94,Battery,26,118
Battery_02,Dallas,Jul,172.87,Battery,26,118
Battery_02,Dallas,Aug,170.51,Battery,23,118
Battery_02,Dallas,Sep,166.22,Battery,26,118
Battery_02,Dallas,Oct,178.01,Battery,24,118
Battery_02,Dallas,Nov,166.84,Battery,30,118
Battery_02,Dallas,Dec,165.62,Battery,25,118
Battery_02,Houston,Jan,157.53,Battery,26,118
Battery_02,Houston,Feb,156.35,Battery,24,118
Battery_02,Houston,Mar,164.08,Battery,26,118
Battery_02,Houston,Apr,177.88,Battery,19,118
Battery_02,Houston,May,164.39,Battery,28,118
Battery_02,Houston,Jun,166.88,Battery,24,118
Battery_02,Houston,Jul,161.52,Battery,24,118
Battery_02,Houston,Aug,160.39,Battery,26,118
Battery_02,Houston,Sep,167.96,Battery,26,118
Battery_02,Houston,Oct,164.76,Battery,24,118
Battery_02,Houston,Nov,169.9,Battery,21,118
Battery_02,Houston,Dec,178.84,Battery,23,118
Battery_02,Phoenix,Jan,176.51,Battery,21,118
